Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
CYP;Cyprus;2020;888005;Southern Europe;24350;14;0;8;;;43;82;;183;78;3;3;25;3;1;5;;86;28;;0;18;6;12;91;;58;;5;;12;10;1;22;12;18;0;;83;100;77;21;17;;20792;1;4;;15;8;7;43;73;1;;93;6;1;3;29;;4;17;;2;39;;4;2;;;8;7;100;;50;;;1;74;1;37;8;80;57;10;1;0;;1;1;1;0;;
CYP;Cyprus;2021;896007;Southern Europe;26520;14;0;;;;46;81;;;77;4;;25;3;0;5;;86;;;;10;6;10;86;;58;;10;;12;10;1;14;9;19;;;;100;77;19;18;;21545;1;1;;15;;8;37;47;1;;93;2;1;5;29;;5;15;;3;;10;3;;;;8;9;93;;50;;;1;74;;37;;80;53;;;;;1;1;1;0;;
CYP;Cyprus;2022;904705;Southern Europe;27480;14;0;;;;;82;;;78;;;27;;0;;;;;;6;;6;8;;403;59;53;11;11;12;;1;14;10;22;;;;100;77;19;;;;1;;;15;;8;39;46;;;94;3;;5;29;;6;;;3;;;;;;;;;99;;50;;;1;74;;37;;66;52;;;;;1;1;1;;;
CYP;Cyprus;2023;904705;Southern Europe;27720;;0;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;69;;;;;;;;;;;
CZE;Czechia;2018;10533355;Central and Eastern Europe;17990;10;0;3;;;20;79;4;319;62;5;13;42;3;1;6;;96;;100;10;14;7;6;87;495;33;20;9;19;15;20;0;21;14;10;0;11;82;98;88;3;15;1;18669;1;3;0;10;2;3;32;23;2;3;86;5;1;2;24;1;29;32;20;8;8;;11;2;46,28;22;10;5;82;;;;;1;95;3;92;18;78;59;8;1;3;8;1;1;1;0;85;3
CZE;Czechia;2019;10535831;Central and Eastern Europe;18460;10;0;3;20;;18;79;3;309;62;5;11;44;3;1;6;4;92;;100;;14;;7;86;;33;;8;;15;19;0;21;18;10;0;12;83;98;89;3;16;1;19531;1;2;;10;2;4;33;19;2;;87;6;2;2;24;1;30;33;14;7;7;;11;2;;;10;5;81;;;;;1;95;2;92;18;75;56;8;1;5;9;1;1;1;0;85;3
CZE;Czechia;2020;10537911;Central and Eastern Europe;17400;10;0;2;;;18;78;4;340;63;4;12;44;3;0;5;;94;30;100;9;12;7;8;86;;33;;6;;15;16;1;20;17;10;0;;83;98;89;2;17;;19708;1;2;;11;3;4;35;19;2;;88;4;2;2;24;;28;41;;7;7;;12;3;;;9;4;82;;;;;1;95;3;92;19;76;54;6;1;2;;1;1;1;0;;
CZE;Czechia;2021;10523996;Central and Eastern Europe;18020;9;0;;;;18;77;4;;68;4;;33;3;0;5;;94;;100;;13;7;6;84;;35;;6;;15;15;0;22;23;10;;;85;98;89;2;18;;21090;1;2;;11;;4;36;19;2;;89;7;2;2;25;;33;43;;6;;10;11;;;;9;5;81;;;;;1;95;;92;;77;54;;;;;1;1;1;0;;
CZE;Czechia;2022;10497505;Central and Eastern Europe;18460;10;0;;;;;79;;;68;;;40;;0;;;;;100;16;;7;6;;491;35;26;9;22;15;;0;23;21;11;;;;98;90;3;;;21926;1;;;11;;3;33;21;;;91;4;;2;25;;29;;;7;;;;;;;;;77;;;;;1;95;;92;;81;56;;;;;1;1;1;0;;
CZE;Czechia;2023;10490467;Central and Eastern Europe;18370;;0;;;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;84;;;;;;;;;;;
DNK;Denmark;2018;5752394;Northern Europe;48450;13;1;3;;;26;81;1;225;71;5;10;17;4;1;3;;95;;100;41;14;8;10;100;501;46;15;24;10;7;15;1;36;28;20;0;4;97;100;98;3;35;1;24209;1;1;0;10;5;6;58;412;3;4;93;2;2;5;28;1;30;50;12;15;16;;8;3;79,99;46;6;13;87;36;87;31;2;1;89;;99;;86;88;7;1;6;34;1;1;1;1;86;6
DNK;Denmark;2019;5780978;Northern Europe;48970;13;1;3;17;;25;82;1;217;70;5;11;20;4;2;3;9;96;;100;;14;8;10;98;;47;;25;;7;14;1;40;30;22;0;3;98;100;99;3;37;1;24545;1;1;;10;5;6;58;415;3;;95;1;2;5;28;1;31;52;10;16;15;;8;3;;;5;13;88;;87;30;2;1;89;;99;;90;87;8;1;3;35;1;1;1;1;86;6
DNK;Denmark;2020;5810778;Northern Europe;47680;12;1;2;;;26;82;2;209;71;4;10;18;4;2;3;;94;16;100;38;13;8;9;98;;47;;20;;7;14;0;40;34;23;0;;98;100;99;3;32;;24756;1;1;;10;6;6;59;415;3;;95;3;2;5;27;;28;45;;14;17;;8;3;;;5;10;91;;87;;;1;89;;99;;92;88;7;1;2;;1;1;1;1;;
DNK;Denmark;2021;5840504;Northern Europe;50740;12;1;;;;23;82;1;;67;4;;24;4;1;2;;95;;100;;13;8;10;97;;50;;22;;7;14;1;41;35;23;;;98;100;99;3;35;;25618;1;1;;8;;6;60;452;3;;96;2;2;6;27;;26;58;;16;;10;8;4;;;5;10;92;;87;;;1;89;;99;;91;88;;;;;1;1;1;1;;
DNK;Denmark;2022;5867977;Northern Europe;51660;12;1;;;;;81;;;63;;;23;;2;;;;;100;66;13;8;10;;491;49;20;28;12;5;;1;43;41;22;;;;100;99;5;;;27123;1;;;8;;6;60;453;;;95;2;;5;28;;25;;;15;;;;;;;;;94;;87;;;1;89;;99;;90;90;;;;;1;1;1;1;;
DNK;Denmark;2023;5896546;Northern Europe;52270;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;89;;;;;;;;;;;
