Country;Year;Production
AUSTRIA;2016;9227
AUSTRIA;2017;9312
AUSTRIA;2018;9472
AUSTRIA;2019;9516
AUSTRIA;2020;9149
AUSTRIA;2021;9376
AUSTRIA;2022;9757
BELGIUM;2016;20616
BELGIUM;2017;20828
BELGIUM;2018;20919
BELGIUM;2019;21563
BELGIUM;2020;22311
BELGIUM;2021;22856
BELGIUM;2022;23350
BULGARIA;2016;5180
BULGARIA;2017;5020
BULGARIA;2018;5070
BULGARIA;2019;4874
BULGARIA;2020;4570
BULGARIA;2021;4460
BULGARIA;2022;4500
